,°¸Àý1,°¸Àý2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
0,0425\0.json,0425\1.json,0.722,0.706,0.6678230711206282,0.996277691,0.7740268778721877
1,0425\0.json,0425\10.json,0.603,0.603,0.6793662204867574,0.992837548,0.588639926819003
2,0425\0.json,0425\11.json,0.511,0.491,0.5333964609104418,0.993523181,0.47750000000000004
3,0425\0.json,0425\12.json,0.625,0.552,0.6154574548966636,0.603527129,0.5330699634095015
4,0425\0.json,0425\13.json,0.640,0.508,0.5773502691896257,0.635180652,0.520544308566871
5,0425\0.json,0425\14.json,0.670,0.532,0.5388602512436507,0.638389279,0.47750000000000004
6,0425\0.json,0425\15.json,0.599,0.556,0.5618006477335896,0.64169025,0.525625
7,0425\0.json,0425\16.json,0.620,0.512,0.6038810848771178,0.826196334,0.520544308566871
8,0425\0.json,0425\17.json,0.600,0.519,0.5388602512436507,0.824333528,0.5167938979571468
9,0425\0.json,0425\18.json,0.651,0.517,0.6038810848771178,0.825486046,0.5489461864390587
10,0425\0.json,0425\19.json,0.631,0.491,0.5185185185185185,0.821969537,0.5589972120530082
11,0425\0.json,0425\2.json,0.741,0.595,0.6928203230275509,0.410228277,0.5635886171337419
12,0425\0.json,0425\20.json,0.659,0.522,0.5594309277855157,0.40323649,0.5330699634095015
13,0425\0.json,0425\21.json,0.690,0.578,0.5879447357921312,0.413016032,0.5330699634095015
14,0425\0.json,0425\22.json,0.670,0.561,0.629940788348712,0.601424324,0.525625
15,0425\0.json,0425\23.json,0.619,0.516,0.6019292654288461,0.611091495,0.525625
16,0425\0.json,0425\24.json,0.657,0.600,0.6543303050815759,0.614260674,0.520544308566871
17,0425\0.json,0425\25.json,0.653,0.561,0.6666666666666666,0.610778679,0.5330699634095015
18,0425\0.json,0425\26.json,0.580,0.562,0.6678230711206282,0.553756752,0.520544308566871
19,0425\0.json,0425\27.json,0.650,0.546,0.6678230711206282,0.540495098,0.520544308566871
20,0425\0.json,0425\28.json,0.692,0.587,0.6975184488828855,0.577108502,0.588639926819003
21,0425\0.json,0425\29.json,0.666,0.557,0.6564879518897745,0.579307644,0.47750000000000004
22,0425\0.json,0425\3.json,0.587,0.574,0.6885303726590962,0.661942024,0.5330699634095015
23,0425\0.json,0425\30.json,0.639,0.603,0.6416236526819377,0.664284268,0.5614718412816893
24,0425\0.json,0425\31.json,0.671,0.522,0.5744269579035527,0.665846745,0.520544308566871
25,0425\0.json,0425\32.json,0.560,0.531,0.5744269579035527,0.662912229,0.5167938979571468
26,0425\0.json,0425\33.json,0.649,0.560,0.6038810848771178,0.610261238,0.5167938979571468
27,0425\0.json,0425\34.json,0.680,0.543,0.5925925925925926,0.595328235,0.588639926819003
28,0425\0.json,0425\35.json,0.597,0.474,0.510688230856951,0.595328235,0.47750000000000004
29,0425\0.json,0425\36.json,0.660,0.548,0.6024640760767093,0.585939929,0.47750000000000004
30,0425\0.json,0425\37.json,0.670,0.561,0.6719368409052928,0.523131013,0.525625
31,0425\0.json,0425\38.json,0.613,0.594,0.6350528962771202,0.530274156,0.525625
32,0425\0.json,0425\39.json,0.585,0.569,0.6622661785325218,0.529563606,0.47750000000000004
33,0425\0.json,0425\4.json,0.541,0.497,0.6019292654288461,0.526909414,0.5330699634095015
34,0425\0.json,0425\40.json,0.690,0.578,0.6254627916220946,0.569357097,0.5330699634095015
35,0425\0.json,0425\41.json,0.541,0.496,0.5333964609104418,0.569357097,0.5167938979571468
36,0425\0.json,0425\42.json,0.609,0.500,0.5892556509887896,0.564184554,0.47750000000000004
37,0425\0.json,0425\43.json,0.671,0.554,0.6019292654288461,0.562744014,0.520544308566871
38,0425\0.json,0425\44.json,0.655,0.516,0.5892556509887896,0.574665786,0.525625
39,0425\0.json,0425\45.json,0.538,0.524,0.6154574548966636,0.575357302,0.525625
40,0425\0.json,0425\46.json,0.646,0.508,0.5892556509887896,0.5522279,0.520544308566871
41,0425\0.json,0425\47.json,0.621,0.500,0.6019292654288461,0.553513268,0.520544308566871
42,0425\0.json,0425\48.json,0.641,0.581,0.6420578831241025,0.560867779,0.525625
43,0425\0.json,0425\49.json,0.714,0.571,0.6019292654288461,0.475463688,0.525625
44,0425\0.json,0425\5.json,0.599,0.495,0.5892556509887896,0.489869474,0.5330699634095015
45,0425\0.json,0425\50.json,0.618,0.606,0.6678230711206282,0.485479798,0.47750000000000004
46,0425\0.json,0425\51.json,0.670,0.544,0.5499719409228703,0.469340231,0.520544308566871
47,0425\0.json,0425\52.json,0.566,0.550,0.6564879518897745,0.559662628,0.525625
48,0425\0.json,0425\53.json,0.533,0.514,0.5744269579035527,0.57265882,0.47750000000000004
49,0425\0.json,0425\54.json,0.631,0.491,0.46206885338911463,0.56830889,0.5349781593395002
50,0425\0.json,0425\55.json,0.668,0.531,0.6158402871356008,0.569475412,0.520544308566871
51,0425\0.json,0425\56.json,0.665,0.648,0.629940788348712,0.590637326,0.688633455270542
52,0425\0.json,0425\57.json,0.644,0.531,0.629940788348712,0.605450666,0.5330699634095015
53,0425\0.json,0425\58.json,0.501,0.481,0.5333964609104418,0.601176238,0.47750000000000004
54,0425\0.json,0425\59.json,0.552,0.533,0.5333964609104418,0.596978401,0.47750000000000004
55,0425\0.json,0425\6.json,0.689,0.596,0.7463904912524668,0.428957283,0.6335472387700279
56,0425\0.json,0425\60.json,0.648,0.599,0.46206885338911463,0.428065317,0.6975
57,0425\0.json,0425\61.json,0.712,0.598,0.6182840223353118,0.475330912,0.5422809583993259
58,0425\0.json,0425\62.json,0.617,0.597,0.5879447357921312,0.477314835,0.5330699634095015
59,0425\0.json,0425\63.json,0.510,0.468,0.5360562674188974,0.514037549,0.47750000000000004
60,0425\0.json,0425\64.json,0.578,0.544,0.5594309277855157,0.544476986,0.520544308566871
61,0425\0.json,0425\65.json,0.716,0.567,0.5879447357921312,0.546257854,0.520544308566871
62,0425\0.json,0425\66.json,0.531,0.512,0.5594309277855157,0.550552043,0.5330699634095015
63,0425\0.json,0425\67.json,0.575,0.531,0.5555555555555556,0.633291928,0.5167938979571468
64,0425\0.json,0425\68.json,0.478,0.452,0.5185185185185185,0.635306369,0.47750000000000004
65,0425\0.json,0425\69.json,0.533,0.527,0.629940788348712,0.648826459,0.525625
66,0425\0.json,0425\7.json,0.634,0.500,0.5184758473652127,0.647611415,0.5167938979571468
67,0425\0.json,0425\70.json,0.542,0.497,0.5892556509887896,0.509754896,0.47750000000000004
68,0425\0.json,0425\71.json,0.715,0.565,0.6416236526819377,0.545963829,0.520544308566871
69,0425\0.json,0425\72.json,0.720,0.704,0.6678230711206282,0.545568081,0.7789972120530083
70,0425\0.json,0425\73.json,0.545,0.500,0.5594309277855157,0.538342994,0.5330699634095015
