,°¸Àý1,°¸Àý2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
0,0425_en\0.json,0425_en\1.json,0.693,0.693,0.6285393610547089,0.603527343,0.745625
1,0425_en\0.json,0425_en\10.json,0.603,0.603,0.6793662204867574,0.826196481,0.588639926819003
2,0425_en\0.json,0425_en\11.json,0.491,0.491,0.5333964609104418,0.410228038,0.47750000000000004
3,0425_en\0.json,0425_en\12.json,0.552,0.552,0.6154574548966636,0.601424253,0.5330699634095015
4,0425_en\0.json,0425_en\13.json,0.508,0.508,0.5773502691896257,0.553756899,0.520544308566871
5,0425_en\0.json,0425_en\14.json,0.532,0.532,0.5388602512436507,0.661942104,0.47750000000000004
6,0425_en\0.json,0425_en\15.json,0.556,0.556,0.5499719409228703,0.610261238,0.525625
7,0425_en\0.json,0425_en\16.json,0.512,0.512,0.6038810848771178,0.523130686,0.520544308566871
8,0425_en\0.json,0425_en\17.json,0.519,0.519,0.5388602512436507,0.569356867,0.5167938979571468
9,0425_en\0.json,0425_en\18.json,0.517,0.517,0.6038810848771178,0.564184614,0.5489461864390587
10,0425_en\0.json,0425_en\19.json,0.491,0.491,0.5185185185185185,0.552227888,0.5589972120530082
11,0425_en\0.json,0425_en\2.json,0.569,0.569,0.6543303050815759,0.475463657,0.520544308566871
12,0425_en\0.json,0425_en\20.json,0.522,0.522,0.5594309277855157,0.559662793,0.5330699634095015
13,0425_en\0.json,0425_en\21.json,0.578,0.578,0.5879447357921312,0.590637039,0.5330699634095015
14,0425_en\0.json,0425_en\22.json,0.561,0.561,0.629940788348712,0.428957215,0.525625
15,0425_en\0.json,0425_en\23.json,0.516,0.516,0.6019292654288461,0.514037282,0.525625
16,0425_en\0.json,0425_en\24.json,0.600,0.600,0.6543303050815759,0.633291938,0.520544308566871
17,0425_en\0.json,0425_en\25.json,0.535,0.535,0.5925925925925926,0.509754807,0.5330699634095015
18,0425_en\0.json,0425_en\26.json,0.523,0.523,0.510688230856951,0.412946547,0.520544308566871
19,0425_en\0.json,0425_en\27.json,0.540,0.540,0.6019292654288461,0.542297309,0.520544308566871
20,0425_en\0.json,0425_en\28.json,0.580,0.580,0.5879447357921312,0.422479535,0.588639926819003
21,0425_en\0.json,0425_en\29.json,0.554,0.554,0.6024640760767093,0.403128439,0.47750000000000004
22,0425_en\0.json,0425_en\3.json,0.574,0.574,0.6885303726590962,0.495002061,0.5330699634095015
23,0425_en\0.json,0425_en\30.json,0.593,0.593,0.6038810848771178,0.624612763,0.5614718412816893
24,0425_en\0.json,0425_en\31.json,0.522,0.522,0.5744269579035527,0.521323414,0.520544308566871
25,0425_en\0.json,0425_en\32.json,0.531,0.531,0.5744269579035527,0.484288154,0.5167938979571468
26,0425_en\0.json,0425_en\33.json,0.532,0.532,0.528395949267478,0.552527401,0.5167938979571468
27,0425_en\0.json,0425_en\34.json,0.523,0.523,0.5185185185185185,0.654186288,0.588639926819003
28,0425_en\0.json,0425_en\35.json,0.474,0.474,0.510688230856951,0.418836678,0.47750000000000004
29,0425_en\0.json,0425_en\36.json,0.538,0.538,0.5594309277855157,0.468771394,0.47750000000000004
30,0425_en\0.json,0425_en\37.json,0.535,0.535,0.5879447357921312,0.635690787,0.525625
31,0425_en\0.json,0425_en\38.json,0.594,0.594,0.6350528962771202,0.429512735,0.525625
32,0425_en\0.json,0425_en\39.json,0.546,0.546,0.5739640213948523,0.526290925,0.47750000000000004
33,0425_en\0.json,0425_en\4.json,0.452,0.452,0.5618006477335896,0.533928339,0.47750000000000004
34,0425_en\0.json,0425_en\40.json,0.578,0.578,0.6254627916220946,0.46380773,0.5330699634095015
35,0425_en\0.json,0425_en\41.json,0.496,0.496,0.5333964609104418,0.651168624,0.5167938979571468
36,0425_en\0.json,0425_en\42.json,0.500,0.500,0.5216720300383333,0.496511489,0.47750000000000004
37,0425_en\0.json,0425_en\43.json,0.546,0.546,0.5618006477335896,0.551481518,0.520544308566871
38,0425_en\0.json,0425_en\44.json,0.493,0.493,0.510688230856951,0.580997536,0.525625
