,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_Human
0,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\10MW高温气冷实验堆反应堆压力容器_解决了高温高压下氦气密封的困难.json,0.503,0.503,0.4657971306985123,0.5197709023455954
1,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\X80钢制直缝高频焊缝圆筒形压力容器_爆破压力，修正经验公式.json,0.430,0.398,0.46499055497527714,0.45
2,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\X80钢压力容器_抗拉强度.json,0.428,0.420,0.5062175977346661,0.45
3,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\主蒸汽法兰_压力容器法兰的密封性能.json,0.398,0.366,0.4107969327704775,0.4569293486718358
4,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\低温分离器_应力分布，弹塑性断裂，应力分析.json,0.431,0.421,0.45945945945945954,0.4592966968020137
5,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\低温液氩储罐_应力分析、应力强度.json,0.423,0.423,0.45110709954768075,0.45
6,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\剖分环式快开门压力容器_应力分布.json,0.449,0.422,0.4865092359773211,0.4642009389360939
7,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\半内嵌式带肋外墙板_抗风承载力要求.json,0.465,0.451,0.45945945945945954,0.45
8,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\卡箍式快开门压力容器_卡箍应力分布，上下法兰应力分布，压力容器应力分布.json,0.478,0.470,0.5231143743471868,0.4620019839629796
9,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器_优化设计，数值分析.json,0.465,0.460,0.4865092359773211,0.45
10,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器_应力场分析，计算应力，计算应变，最大位移.json,0.483,0.470,0.5205967931336314,0.49596336346868036
11,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器_强度分析，疲劳寿命计算.json,0.446,0.428,0.4324324324324325,0.45
12,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器_疲劳强度分析.json,0.461,0.449,0.48782135766494206,0.4888908729652601
13,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器不连续区_不连续区优化设计.json,0.496,0.484,0.570285213928281,0.49596336346868036
14,\10MW高温气冷堆压力容器主法兰_弹塑性接触计算，强度校核，接触弹塑性分析.json,\压力容器及管道_局部应力计算.json,0.469,0.463,0.5001930129390556,0.4658771324027147
