,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
0,0425\0.json,0425\1.json,0.722,0.706,0.667823071,0.777945902,0.774026878
1,0425\0.json,0425\10.json,0.603,0.603,0.67936622,0.920293745,0.588639927
2,0425\0.json,0425\11.json,0.511,0.491,0.533396461,0.647743008,0.4775
3,0425\0.json,0425\12.json,0.625,0.552,0.615457455,0.776598978,0.533069963
4,0425\0.json,0425\13.json,0.64,0.508,0.577350269,0.786567418,0.520544309
5,0425\0.json,0425\14.json,0.67,0.532,0.538860251,0.8212748,0.4775
6,0425\0.json,0425\15.json,0.599,0.556,0.561800648,0.78935385,0.525625
7,0425\0.json,0425\16.json,0.62,0.512,0.603881085,0.763638521,0.520544309
8,0425\0.json,0425\17.json,0.6,0.519,0.538860251,0.731765774,0.516793898
9,0425\0.json,0425\18.json,0.651,0.517,0.603881085,0.694676789,0.548946186
10,0425\0.json,0425\19.json,0.631,0.491,0.518518519,0.71086557,0.558997212
11,0425\0.json,0425\2.json,0.741,0.595,0.692820323,0.699696772,0.563588617
12,0425\0.json,0425\20.json,0.659,0.522,0.559430928,0.723318191,0.533069963
13,0425\0.json,0425\21.json,0.69,0.578,0.587944736,0.803606408,0.533069963
14,0425\0.json,0425\22.json,0.67,0.561,0.629940788,0.708656285,0.525625
15,0425\0.json,0425\23.json,0.619,0.516,0.601929265,0.807914357,0.525625
16,0425\0.json,0425\24.json,0.657,0.6,0.654330305,0.80591425,0.520544309
17,0425\0.json,0425\25.json,0.653,0.561,0.666666667,0.717855359,0.533069963
18,0425\0.json,0425\26.json,0.58,0.562,0.667823071,0.805075804,0.520544309
19,0425\0.json,0425\27.json,0.65,0.546,0.667823071,0.693591136,0.520544309
20,0425\0.json,0425\28.json,0.692,0.587,0.697518449,0.805439433,0.588639927
21,0425\0.json,0425\29.json,0.666,0.557,0.656487952,0.661023282,0.4775
22,0425\0.json,0425\3.json,0.587,0.574,0.688530373,0.748276701,0.533069963
23,0425\0.json,0425\30.json,0.639,0.603,0.641623653,0.833186461,0.561471841
24,0425\0.json,0425\31.json,0.671,0.522,0.574426958,0.769147992,0.520544309
25,0425\0.json,0425\32.json,0.56,0.531,0.574426958,0.793610789,0.516793898
26,0425\0.json,0425\33.json,0.649,0.56,0.603881085,0.771975323,0.516793898
27,0425\0.json,0425\34.json,0.68,0.543,0.592592593,0.821770516,0.588639927
28,0425\0.json,0425\35.json,0.597,0.474,0.510688231,0.710721402,0.4775
29,0425\0.json,0425\36.json,0.66,0.548,0.602464076,0.732608872,0.4775
30,0425\0.json,0425\37.json,0.67,0.561,0.671936841,0.810753482,0.525625
31,0425\0.json,0425\38.json,0.613,0.594,0.635052896,0.765952541,0.525625
32,0425\0.json,0425\39.json,0.585,0.569,0.662266179,0.731477217,0.4775
33,0425\0.json,0425\4.json,0.541,0.497,0.601929265,0.795379942,0.533069963
34,0425\0.json,0425\40.json,0.69,0.578,0.625462792,0.713841752,0.533069963
35,0425\0.json,0425\41.json,0.541,0.496,0.533396461,0.657286607,0.516793898
36,0425\0.json,0425\42.json,0.609,0.5,0.589255651,0.770341123,0.4775
37,0425\0.json,0425\43.json,0.671,0.554,0.601929265,0.736202134,0.520544309
38,0425\0.json,0425\44.json,0.655,0.516,0.589255651,0.74326777,0.525625
39,0425\0.json,0425\45.json,0.538,0.524,0.615457455,0.763167777,0.525625
40,0425\0.json,0425\46.json,0.646,0.508,0.589255651,0.632473108,0.520544309
41,0425\0.json,0425\47.json,0.621,0.5,0.601929265,0.759299139,0.520544309
42,0425\0.json,0425\48.json,0.641,0.581,0.642057883,0.787766208,0.525625
43,0425\0.json,0425\49.json,0.714,0.571,0.601929265,0.824671294,0.525625
44,0425\0.json,0425\5.json,0.599,0.495,0.589255651,0.836562997,0.533069963
45,0425\0.json,0425\50.json,0.618,0.606,0.667823071,0.758415756,0.4775
46,0425\0.json,0425\51.json,0.67,0.544,0.549971941,0.733762647,0.520544309
47,0425\0.json,0425\52.json,0.566,0.55,0.656487952,0.824319024,0.525625
48,0425\0.json,0425\53.json,0.533,0.514,0.574426958,0.830386101,0.4775
49,0425\0.json,0425\54.json,0.631,0.491,0.462068853,0.79680367,0.534978159
50,0425\0.json,0425\55.json,0.668,0.531,0.615840287,0.808466586,0.520544309
51,0425\0.json,0425\56.json,0.665,0.648,0.629940788,0.707275913,0.688633455
52,0425\0.json,0425\57.json,0.644,0.531,0.629940788,0.726871255,0.533069963
53,0425\0.json,0425\58.json,0.501,0.481,0.533396461,0.73033916,0.4775
54,0425\0.json,0425\59.json,0.552,0.533,0.533396461,0.7752537,0.4775
55,0425\0.json,0425\6.json,0.689,0.596,0.746390491,0.815201345,0.633547239
56,0425\0.json,0425\60.json,0.648,0.599,0.462068853,0.714509369,0.6975
57,0425\0.json,0425\61.json,0.712,0.598,0.618284022,0.790427994,0.542280958
58,0425\0.json,0425\62.json,0.617,0.597,0.587944736,0.754095836,0.533069963
59,0425\0.json,0425\63.json,0.51,0.468,0.536056267,0.579882953,0.4775
60,0425\0.json,0425\64.json,0.578,0.544,0.559430928,0.707824336,0.520544309
61,0425\0.json,0425\65.json,0.716,0.567,0.587944736,0.723898904,0.520544309
62,0425\0.json,0425\66.json,0.531,0.512,0.559430928,0.723283651,0.533069963
63,0425\0.json,0425\67.json,0.575,0.531,0.555555556,0.63278155,0.516793898
64,0425\0.json,0425\68.json,0.478,0.452,0.518518519,0.738462985,0.4775
65,0425\0.json,0425\69.json,0.533,0.527,0.629940788,0.798107741,0.525625
66,0425\0.json,0425\7.json,0.634,0.5,0.518475847,0.699368105,0.516793898
67,0425\0.json,0425\70.json,0.542,0.497,0.589255651,0.808277429,0.4775
68,0425\0.json,0425\71.json,0.715,0.565,0.641623653,0.758397925,0.520544309
69,0425\0.json,0425\72.json,0.72,0.704,0.667823071,0.74351906,0.778997212
