,°¸Àý1,°¸Àý2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human,,
0,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,0.8,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,0.4,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,0.2,1,,
,,,1,1,1,1,1,,
,,,1,1,1,1,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.6,1,,
,,,1,1,1,0.8,1,,
